date,country,daily_count
2010-01-01,Scotland,59.0
2010-01-01,Wales,65.09677419354838
2010-01-02,Scotland,69.0
2010-01-02,Wales,65.09677419354838
2010-01-03,Scotland,78.0
2010-01-03,Wales,65.09677419354838
2010-01-04,Scotland,84.0
2010-01-04,Wales,65.09677419354838
2010-01-05,Scotland,60.0
2010-01-05,Wales,65.09677419354838
2010-01-06,Scotland,73.0
2010-01-06,Wales,65.09677419354838
2010-01-07,Scotland,55.0
2010-01-07,Wales,65.09677419354838
2010-01-08,Scotland,82.0
2010-01-08,Wales,65.09677419354838
2010-01-09,Scotland,77.0
2010-01-09,Wales,65.09677419354838
2010-01-10,Scotland,72.0
2010-01-10,Wales,65.09677419354838
2010-01-11,Scotland,65.0
2010-01-11,Wales,65.09677419354838
2010-01-12,Scotland,55.0
2010-01-12,Wales,65.09677419354838
2010-01-13,Scotland,58.0
2010-01-13,Wales,65.09677419354838
2010-01-14,Scotland,55.0
2010-01-14,Wales,65.09677419354838
2010-01-15,Scotland,52.0
2010-01-15,Wales,65.09677419354838
2010-01-16,Scotland,64.0
2010-01-16,Wales,65.09677419354838
2010-01-17,Scotland,64.0
2010-01-17,Wales,65.09677419354838
2010-01-18,Scotland,66.0
2010-01-18,Wales,65.09677419354838
2010-01-19,Scotland,81.0
2010-01-19,Wales,65.09677419354838
2010-01-20,Scotland,59.0
2010-01-20,Wales,65.09677419354838
2010-01-21,Scotland,64.0
2010-01-21,Wales,65.09677419354838
2010-01-22,Scotland,71.0
2010-01-22,Wales,65.09677419354838
2010-01-23,Scotland,89.0
2010-01-23,Wales,65.09677419354838
2010-01-24,Scotland,76.0
2010-01-24,Wales,65.09677419354838
2010-01-25,Scotland,96.0
2010-01-25,Wales,65.09677419354838
2010-01-26,Scotland,69.0
2010-01-26,Wales,65.09677419354838
2010-01-27,Scotland,71.0
2010-01-27,Wales,65.09677419354838
2010-01-28,Scotland,64.0
2010-01-28,Wales,65.09677419354838
2010-01-29,Scotland,80.0
2010-01-29,Wales,65.09677419354838
2010-01-30,Scotland,109.0
2010-01-30,Wales,65.09677419354838
2010-01-31,Scotland,87.0
2010-01-31,Wales,65.09677419354838
2010-02-01,Scotland,66.0
2010-02-01,Wales,86.64285714285714
2010-02-02,Scotland,65.0
2010-02-02,Wales,86.64285714285714
2010-02-03,Scotland,61.0
2010-02-03,Wales,86.64285714285714
2010-02-04,Scotland,63.0
2010-02-04,Wales,86.64285714285714
2010-02-05,Scotland,74.0
2010-02-05,Wales,86.64285714285714
2010-02-06,Scotland,81.0
2010-02-06,Wales,86.64285714285714
2010-02-07,Scotland,75.0
2010-02-07,Wales,86.64285714285714
2010-02-08,Scotland,74.0
2010-02-08,Wales,86.64285714285714
2010-02-09,Scotland,93.0
2010-02-09,Wales,86.64285714285714
2010-02-10,Scotland,105.0
2010-02-10,Wales,86.64285714285714
2010-02-11,Scotland,91.0
2010-02-11,Wales,86.64285714285714
2010-02-12,Scotland,111.0
2010-02-12,Wales,86.64285714285714
2010-02-13,Scotland,118.0
2010-02-13,Wales,86.64285714285714
2010-02-14,Scotland,107.0
2010-02-14,Wales,86.64285714285714
2010-02-15,Scotland,86.0
2010-02-15,Wales,86.64285714285714
2010-02-16,Scotland,77.0
2010-02-16,Wales,86.64285714285714
2010-02-17,Scotland,70.0
2010-02-17,Wales,86.64285714285714
2010-02-18,Scotland,82.0
2010-02-18,Wales,86.64285714285714
2010-02-19,Scotland,114.0
2010-02-19,Wales,86.64285714285714
2010-02-20,Scotland,97.0
2010-02-20,Wales,86.64285714285714
2010-02-21,Scotland,106.0
2010-02-21,Wales,86.64285714285714
2010-02-22,Scotland,94.0
2010-02-22,Wales,86.64285714285714
2010-02-23,Scotland,95.0
2010-02-23,Wales,86.64285714285714
2010-02-24,Scotland,65.0
2010-02-24,Wales,86.64285714285714
2010-02-25,Scotland,67.0
2010-02-25,Wales,86.64285714285714
2010-02-26,Scotland,65.0
2010-02-26,Wales,86.64285714285714
2010-02-27,Scotland,78.0
2010-02-27,Wales,86.64285714285714
2010-02-28,Scotland,67.0
2010-02-28,Wales,86.64285714285714
2010-03-01,Scotland,93.0
2010-03-01,Wales,208.06451612903226
2010-03-02,Scotland,82.0
2010-03-02,Wales,208.06451612903226
2010-03-03,Scotland,98.0
2010-03-03,Wales,208.06451612903226
2010-03-04,Scotland,98.0
2010-03-04,Wales,208.06451612903226
2010-03-05,Scotland,115.0
2010-03-05,Wales,208.06451612903226
2010-03-06,Scotland,159.0
2010-03-06,Wales,208.06451612903226
2010-03-07,Scotland,171.0
2010-03-07,Wales,208.06451612903226
2010-03-08,Scotland,159.0
2010-03-08,Wales,208.06451612903226
2010-03-09,Scotland,215.0
2010-03-09,Wales,208.06451612903226
2010-03-10,Scotland,212.0
2010-03-10,Wales,208.06451612903226
2010-03-11,Scotland,120.0
2010-03-11,Wales,208.06451612903226
2010-03-12,Scotland,169.0
2010-03-12,Wales,208.06451612903226
2010-03-13,Scotland,244.0
2010-03-13,Wales,208.06451612903226
2010-03-14,Scotland,245.0
2010-03-14,Wales,208.06451612903226
2010-03-15,Scotland,104.0
2010-03-15,Wales,208.06451612903226
2010-03-16,Scotland,188.0
2010-03-16,Wales,208.06451612903226
2010-03-17,Scotland,110.0
2010-03-17,Wales,208.06451612903226
2010-03-18,Scotland,101.0
2010-03-18,Wales,208.06451612903226
2010-03-19,Scotland,168.0
2010-03-19,Wales,208.06451612903226
2010-03-20,Scotland,289.0
2010-03-20,Wales,208.06451612903226
2010-03-21,Scotland,239.0
2010-03-21,Wales,208.06451612903226
2010-03-22,Scotland,83.0
2010-03-22,Wales,208.06451612903226
2010-03-23,Scotland,135.0
2010-03-23,Wales,208.06451612903226
2010-03-24,Scotland,69.0
2010-03-24,Wales,208.06451612903226
2010-03-25,Scotland,68.0
2010-03-25,Wales,208.06451612903226
2010-03-26,Scotland,60.0
2010-03-26,Wales,208.06451612903226
2010-03-27,Scotland,79.0
2010-03-27,Wales,208.06451612903226
2010-03-28,Scotland,96.0
2010-03-28,Wales,208.06451612903226
2010-03-29,Scotland,54.0
2010-03-29,Wales,208.06451612903226
2010-03-30,Scotland,48.0
2010-03-30,Wales,208.06451612903226
2010-03-31,Scotland,58.0
2010-03-31,Wales,208.06451612903226
2010-04-01,England,1551.0
2010-04-01,Scotland,109.0
2010-04-01,Wales,261.6
2010-04-02,England,1395.0
2010-04-02,Scotland,163.0
2010-04-02,Wales,261.6
2010-04-03,England,1502.0
2010-04-03,Scotland,93.0
2010-04-03,Wales,261.6
2010-04-04,England,1523.0
2010-04-04,Scotland,109.0
2010-04-04,Wales,261.6
2010-04-05,England,1566.0
2010-04-05,Scotland,69.0
2010-04-05,Wales,261.6
2010-04-06,England,1836.0
2010-04-06,Scotland,59.0
2010-04-06,Wales,261.6
2010-04-07,England,1607.0
2010-04-07,Scotland,104.0
2010-04-07,Wales,261.6
2010-04-08,England,1951.0
2010-04-08,Scotland,92.0
2010-04-08,Wales,261.6
2010-04-09,England,2290.0
2010-04-09,Scotland,150.0
2010-04-09,Wales,261.6
2010-04-10,England,2436.0
2010-04-10,Scotland,289.0
2010-04-10,Wales,261.6
2010-04-11,England,2344.0
2010-04-11,Scotland,398.0
2010-04-11,Wales,261.6
2010-04-12,England,2140.0
2010-04-12,Scotland,382.0
2010-04-12,Wales,261.6
2010-04-13,England,2013.0
2010-04-13,Scotland,283.0
2010-04-13,Wales,261.6
2010-04-14,England,2028.0
2010-04-14,Scotland,342.0
2010-04-14,Wales,261.6
2010-04-15,England,2070.0
2010-04-15,Scotland,315.0
2010-04-15,Wales,261.6
2010-04-16,England,2276.0
2010-04-16,Scotland,305.0
2010-04-16,Wales,261.6
2010-04-17,England,2493.0
2010-04-17,Scotland,221.0
2010-04-17,Wales,261.6
2010-04-18,England,2346.0
2010-04-18,Scotland,172.0
2010-04-18,Wales,261.6
2010-04-19,England,1737.0
2010-04-19,Scotland,201.0
2010-04-19,Wales,261.6
2010-04-20,England,1943.0
2010-04-20,Scotland,174.0
2010-04-20,Wales,261.6
2010-04-21,England,2185.0
2010-04-21,Scotland,303.0
2010-04-21,Wales,261.6
2010-04-22,England,2272.0
2010-04-22,Scotland,247.0
2010-04-22,Wales,261.6
2010-04-23,England,2415.0
2010-04-23,Scotland,100.0
2010-04-23,Wales,261.6
2010-04-24,England,2910.0
2010-04-24,Scotland,257.0
2010-04-24,Wales,261.6
2010-04-25,England,1989.0
2010-04-25,Scotland,106.0
2010-04-25,Wales,261.6
2010-04-26,England,1938.0
2010-04-26,Scotland,115.0
2010-04-26,Wales,261.6
2010-04-27,England,2130.0
2010-04-27,Scotland,113.0
2010-04-27,Wales,261.6
2010-04-28,England,2023.0
2010-04-28,Scotland,112.0
2010-04-28,Wales,261.6
2010-04-29,England,1750.0
2010-04-29,Scotland,129.0
2010-04-29,Wales,261.6
2010-04-30,England,1596.0
2010-04-30,Scotland,92.0
2010-04-30,Wales,261.6
2010-05-01,England,1843.0
2010-05-01,Scotland,121.0
2010-05-01,Wales,172.38709677419354
2010-05-02,England,1870.0
2010-05-02,Scotland,149.0
2010-05-02,Wales,172.38709677419354
2010-05-03,England,1796.0
2010-05-03,Scotland,232.0
2010-05-03,Wales,172.38709677419354
2010-05-04,England,1868.0
2010-05-04,Scotland,161.0
2010-05-04,Wales,172.38709677419354
2010-05-05,England,1771.0
2010-05-05,Scotland,146.0
2010-05-05,Wales,172.38709677419354
2010-05-06,England,1650.0
2010-05-06,Scotland,103.0
2010-05-06,Wales,172.38709677419354
2010-05-07,England,1705.0
2010-05-07,Scotland,136.0
2010-05-07,Wales,172.38709677419354
2010-05-08,England,1752.0
2010-05-08,Scotland,238.0
2010-05-08,Wales,172.38709677419354
2010-05-09,England,1859.0
2010-05-09,Scotland,223.0
2010-05-09,Wales,172.38709677419354
2010-05-10,England,1677.0
2010-05-10,Scotland,168.0
2010-05-10,Wales,172.38709677419354
2010-05-11,England,1723.0
2010-05-11,Scotland,176.0
2010-05-11,Wales,172.38709677419354
2010-05-12,England,1805.0
2010-05-12,Scotland,153.0
2010-05-12,Wales,172.38709677419354
2010-05-13,England,1964.0
2010-05-13,Scotland,101.0
2010-05-13,Wales,172.38709677419354
2010-05-14,England,1809.0
2010-05-14,Scotland,98.0
2010-05-14,Wales,172.38709677419354
2010-05-15,England,2158.0
2010-05-15,Scotland,171.0
2010-05-15,Wales,172.38709677419354
2010-05-16,England,1911.0
2010-05-16,Scotland,156.0
2010-05-16,Wales,172.38709677419354
2010-05-17,England,1847.0
2010-05-17,Scotland,185.0
2010-05-17,Wales,172.38709677419354
2010-05-18,England,2103.0
2010-05-18,Scotland,190.0
2010-05-18,Wales,172.38709677419354
2010-05-19,England,1965.0
2010-05-19,Scotland,122.0
2010-05-19,Wales,172.38709677419354
2010-05-20,England,2040.0
2010-05-20,Scotland,130.0
2010-05-20,Wales,172.38709677419354
2010-05-21,England,2231.0
2010-05-21,Scotland,171.0
2010-05-21,Wales,172.38709677419354
2010-05-22,England,2690.0
2010-05-22,Scotland,196.0
2010-05-22,Wales,172.38709677419354
2010-05-23,England,2679.0
2010-05-23,Scotland,190.0
2010-05-23,Wales,172.38709677419354
2010-05-24,England,2344.0
2010-05-24,Scotland,161.0
2010-05-24,Wales,172.38709677419354
2010-05-25,England,2002.0
2010-05-25,Scotland,207.0
2010-05-25,Wales,172.38709677419354
2010-05-26,England,1838.0
2010-05-26,Scotland,158.0
2010-05-26,Wales,172.38709677419354
2010-05-27,England,1797.0
2010-05-27,Scotland,105.0
2010-05-27,Wales,172.38709677419354
2010-05-28,England,2001.0
2010-05-28,Scotland,125.0
2010-05-28,Wales,172.38709677419354
2010-05-29,England,1640.0
2010-05-29,Scotland,125.0
2010-05-29,Wales,172.38709677419354
2010-05-30,England,1764.0
2010-05-30,Scotland,116.0
2010-05-30,Wales,172.38709677419354
2010-05-31,England,1820.0
2010-05-31,Scotland,216.0
2010-05-31,Wales,172.38709677419354
2010-06-01,England,1683.0
2010-06-01,Scotland,101.0
2010-06-01,Wales,160.8
2010-06-02,England,1962.0
2010-06-02,Scotland,132.0
2010-06-02,Wales,160.8
2010-06-03,England,2125.0
2010-06-03,Scotland,163.0
2010-06-03,Wales,160.8
2010-06-04,England,2221.0
2010-06-04,Scotland,184.0
2010-06-04,Wales,160.8
2010-06-05,England,2233.0
2010-06-05,Scotland,180.0
2010-06-05,Wales,160.8
2010-06-06,England,1779.0
2010-06-06,Scotland,132.0
2010-06-06,Wales,160.8
2010-06-07,England,1674.0
2010-06-07,Scotland,81.0
2010-06-07,Wales,160.8
2010-06-08,England,1539.0
2010-06-08,Scotland,52.0
2010-06-08,Wales,160.8
2010-06-09,England,1520.0
2010-06-09,Scotland,63.0
2010-06-09,Wales,160.8
2010-06-10,England,1449.0
2010-06-10,Scotland,86.0
2010-06-10,Wales,160.8
2010-06-11,England,1766.0
2010-06-11,Scotland,96.0
2010-06-11,Wales,160.8
2010-06-12,England,1797.0
2010-06-12,Scotland,132.0
2010-06-12,Wales,160.8
2010-06-13,England,1690.0
2010-06-13,Scotland,78.0
2010-06-13,Wales,160.8
2010-06-14,England,1596.0
2010-06-14,Scotland,105.0
2010-06-14,Wales,160.8
2010-06-15,England,1652.0
2010-06-15,Scotland,155.0
2010-06-15,Wales,160.8
2010-06-16,England,1837.0
2010-06-16,Scotland,119.0
2010-06-16,Wales,160.8
2010-06-17,England,1918.0
